timestamp,packet_size,protocol,inter_arrival,anomaly
2026-02-21 22:05:35.065040,1208,6,0.423,1
2026-02-21 22:05:36.065040,984,1,0.303,0
2026-02-21 22:05:37.065040,1025,17,0.339,0
2026-02-21 22:05:38.065040,1085,17,0.385,0
2026-02-21 22:05:39.065040,693,17,0.018,0
2026-02-21 22:05:40.065040,769,17,0.267,0
2026-02-21 22:05:41.065040,711,6,0.145,0
2026-02-21 22:05:42.065040,1273,6,0.47,1
2026-02-21 22:05:43.065040,388,6,0.27,0
2026-02-21 22:05:44.065040,572,17,0.249,1
2026-02-21 22:05:45.065040,142,1,0.821,0
2026-02-21 22:05:46.065040,967,17,0.714,1
2026-02-21 22:05:47.065040,1348,6,0.521,1
2026-02-21 22:05:48.065040,1385,1,0.139,1
2026-02-21 22:05:49.065040,1237,17,0.527,1
2026-02-21 22:05:50.065040,1038,6,0.097,1
2026-02-21 22:05:51.065040,1290,17,0.797,0
2026-02-21 22:05:52.065040,169,17,0.586,0
2026-02-21 22:05:53.065040,974,17,0.807,1
2026-02-21 22:05:54.065040,619,17,0.415,1
2026-02-21 22:05:55.065040,292,6,0.416,0
2026-02-21 22:05:56.065040,1353,17,0.881,0
2026-02-21 22:05:57.065040,606,17,0.824,1
2026-02-21 22:05:58.065040,1008,6,0.183,0
2026-02-21 22:05:59.065040,866,17,0.167,1
2026-02-21 22:06:00.065040,447,1,0.496,1
2026-02-21 22:06:01.065040,1371,6,0.749,1
2026-02-21 22:06:02.065040,1123,17,0.792,1
2026-02-21 22:06:03.065040,1417,6,0.55,1
2026-02-21 22:06:04.065040,1314,1,0.393,1
2026-02-21 22:06:05.065040,141,1,0.971,0
2026-02-21 22:06:06.065040,822,17,0.202,1
2026-02-21 22:06:07.065040,962,17,0.527,0
2026-02-21 22:06:08.065040,1273,6,0.922,1
2026-02-21 22:06:09.065040,1002,17,0.563,0
2026-02-21 22:06:10.065040,1234,1,0.238,0
2026-02-21 22:06:11.065040,1253,17,0.109,1
2026-02-21 22:06:12.065040,1171,1,0.527,1
2026-02-21 22:06:13.065040,1004,6,0.622,1
2026-02-21 22:06:14.065040,1300,17,0.348,1
2026-02-21 22:06:15.065040,761,1,0.515,1
2026-02-21 22:06:16.065040,202,17,0.324,1
2026-02-21 22:06:17.065040,816,6,0.991,0
2026-02-21 22:06:18.065040,96,1,0.597,1
2026-02-21 22:06:19.065040,710,1,0.185,1
2026-02-21 22:06:20.065040,85,17,0.644,0
2026-02-21 22:06:21.065040,1359,17,0.301,0
2026-02-21 22:06:22.065040,731,17,0.152,0
2026-02-21 22:06:23.065040,945,6,0.886,0
2026-02-21 22:06:24.065040,1466,1,0.323,1
2026-02-21 22:06:25.065040,1023,6,0.549,0
2026-02-21 22:06:26.065040,369,17,0.021,1
2026-02-21 22:06:27.065040,164,1,0.407,0
2026-02-21 22:06:28.065040,615,1,0.251,1
2026-02-21 22:06:29.065040,509,6,0.557,1
2026-02-21 22:06:30.065040,788,1,0.08,1
2026-02-21 22:06:31.065040,352,17,0.694,0
2026-02-21 22:06:32.065040,1353,1,0.531,1
2026-02-21 22:06:33.065040,237,6,0.772,1
2026-02-21 22:06:34.065040,745,17,0.768,0
2026-02-21 22:06:35.065040,85,17,0.226,0
2026-02-21 22:06:36.065040,527,6,0.881,1
2026-02-21 22:06:37.065040,444,17,0.598,0
2026-02-21 22:06:38.065040,393,1,0.71,1
2026-02-21 22:06:39.065040,1013,1,0.046,0
2026-02-21 22:06:40.065040,414,1,0.414,1
2026-02-21 22:06:41.065040,553,1,0.496,0
2026-02-21 22:06:42.065040,1032,1,0.397,0
2026-02-21 22:06:43.065040,1145,6,0.515,0
2026-02-21 22:06:44.065040,1247,1,0.63,1
2026-02-21 22:06:45.065040,1375,1,0.762,1
