timestamp,src_ip,dst_ip,bytes_sent,bytes_received
2026-02-21 10:00:00,192.168.1.209,10.0.0.223,2682,1488
2026-02-21 10:01:00,192.168.1.85,10.0.0.163,4323,4512
2026-02-21 10:02:00,192.168.1.49,10.0.0.21,4082,4946
2026-02-21 10:03:00,192.168.1.167,10.0.0.201,2510,2036
2026-02-21 10:04:00,192.168.1.188,10.0.0.5,1403,2191
2026-02-21 10:05:00,192.168.1.136,10.0.0.193,3991,1105
2026-02-21 10:06:00,192.168.1.133,10.0.0.16,4270,1100
2026-02-21 10:07:00,192.168.1.171,10.0.0.233,4590,3257
2026-02-21 10:08:00,192.168.1.37,10.0.0.118,2573,2914
2026-02-21 10:09:00,192.168.1.5,10.0.0.21,2039,3589
2026-02-21 10:10:00,192.168.1.216,10.0.0.188,4949,4914
2026-02-21 10:11:00,192.168.1.188,10.0.0.120,2904,2406
2026-02-21 10:12:00,192.168.1.119,10.0.0.29,4123,3597
2026-02-21 10:13:00,192.168.1.61,10.0.0.174,4802,1624
2026-02-21 10:14:00,192.168.1.231,10.0.0.51,2833,3251
2026-02-21 10:15:00,192.168.1.42,10.0.0.222,4099,3943
2026-02-21 10:16:00,192.168.1.139,10.0.0.223,3120,1588
2026-02-21 10:17:00,192.168.1.151,10.0.0.45,1706,3774
2026-02-21 10:18:00,192.168.1.140,10.0.0.139,4208,1555
2026-02-21 10:19:00,192.168.1.219,10.0.0.71,1057,2649
2026-02-21 10:20:00,192.168.1.247,10.0.0.157,1654,1487
2026-02-21 10:21:00,192.168.1.90,10.0.0.181,4139,4084
2026-02-21 10:22:00,192.168.1.53,10.0.0.254,1884,2008
2026-02-21 10:23:00,192.168.1.17,10.0.0.163,4678,2921
2026-02-21 10:24:00,192.168.1.15,10.0.0.169,1217,2628
2026-02-21 10:25:00,192.168.1.247,10.0.0.210,3730,2938
2026-02-21 10:26:00,192.168.1.18,10.0.0.172,3593,2926
2026-02-21 10:27:00,192.168.1.114,10.0.0.203,2379,2317
2026-02-21 10:28:00,192.168.1.146,10.0.0.233,3274,4830
2026-02-21 10:29:00,192.168.1.49,10.0.0.117,4341,1331
2026-02-21 10:30:00,192.168.1.57,10.0.0.83,1440,2755
2026-02-21 10:31:00,192.168.1.191,10.0.0.141,2077,4915
2026-02-21 10:32:00,192.168.1.180,10.0.0.8,1583,1120
2026-02-21 10:33:00,192.168.1.228,10.0.0.130,2969,3602
2026-02-21 10:34:00,192.168.1.184,10.0.0.7,4318,3998
2026-02-21 10:35:00,192.168.1.189,10.0.0.177,3156,1182
2026-02-21 10:36:00,192.168.1.176,10.0.0.200,4352,1227
2026-02-21 10:37:00,192.168.1.26,10.0.0.137,4908,2748
2026-02-21 10:38:00,192.168.1.15,10.0.0.254,3633,2516
2026-02-21 10:39:00,192.168.1.9,10.0.0.131,1833,2431
2026-02-21 10:40:00,192.168.1.253,10.0.0.226,2309,3043
2026-02-21 10:41:00,192.168.1.9,10.0.0.155,1696,1992
2026-02-21 10:42:00,192.168.1.66,10.0.0.206,4565,2047
2026-02-21 10:43:00,192.168.1.251,10.0.0.203,1303,2535
2026-02-21 10:44:00,192.168.1.135,10.0.0.129,3151,1625
2026-02-21 10:45:00,192.168.1.251,10.0.0.59,1295,4089
2026-02-21 10:46:00,192.168.1.173,10.0.0.24,2082,1798
2026-02-21 10:47:00,192.168.1.231,10.0.0.149,1407,4467
2026-02-21 10:48:00,192.168.1.99,10.0.0.42,3430,3340
2026-02-21 10:49:00,192.168.1.237,10.0.0.46,1677,1829
2026-02-21 10:50:00,192.168.1.204,10.0.0.245,3271,2347
2026-02-21 10:51:00,192.168.1.52,10.0.0.75,4976,3877
2026-02-21 10:52:00,192.168.1.206,10.0.0.93,4015,2732
2026-02-21 10:53:00,192.168.1.106,10.0.0.189,4726,2470
2026-02-21 10:54:00,192.168.1.11,10.0.0.17,4787,1529
2026-02-21 10:55:00,192.168.1.122,10.0.0.19,2777,3383
2026-02-21 10:56:00,192.168.1.199,10.0.0.156,1780,2397
2026-02-21 10:57:00,192.168.1.74,10.0.0.183,1500,4637
2026-02-21 10:58:00,192.168.1.82,10.0.0.81,4095,4677
2026-02-21 10:59:00,192.168.1.71,10.0.0.124,1066,4658
2026-02-21 11:00:00,192.168.1.143,10.0.0.72,1541,1331
2026-02-21 11:01:00,192.168.1.224,10.0.0.94,4662,3990
2026-02-21 11:02:00,192.168.1.207,10.0.0.81,3116,1649
2026-02-21 11:03:00,192.168.1.79,10.0.0.139,2649,2995
2026-02-21 11:04:00,192.168.1.197,10.0.0.219,4607,4874
2026-02-21 11:05:00,192.168.1.77,10.0.0.8,3907,4132
2026-02-21 11:06:00,192.168.1.88,10.0.0.21,4025,1852
2026-02-21 11:07:00,192.168.1.19,10.0.0.45,2723,1033
2026-02-21 11:08:00,192.168.1.7,10.0.0.219,2226,3999
2026-02-21 11:09:00,192.168.1.82,10.0.0.34,4919,2542
2026-02-21 11:10:00,192.168.1.194,10.0.0.137,2222,4426
2026-02-21 11:11:00,192.168.1.229,10.0.0.180,1732,3223
2026-02-21 11:12:00,192.168.1.78,10.0.0.143,4114,2651
2026-02-21 11:13:00,192.168.1.94,10.0.0.126,3353,3273
2026-02-21 11:14:00,192.168.1.23,10.0.0.198,4119,4332
2026-02-21 11:15:00,192.168.1.71,10.0.0.213,3705,2328
2026-02-21 11:16:00,192.168.1.134,10.0.0.239,1269,1733
2026-02-21 11:17:00,192.168.1.37,10.0.0.155,4118,2316
2026-02-21 11:18:00,192.168.1.75,10.0.0.65,4633,1828
2026-02-21 11:19:00,192.168.1.46,10.0.0.231,3377,1466
2026-02-21 11:20:00,192.168.1.171,10.0.0.226,4568,3976
2026-02-21 11:21:00,192.168.1.209,10.0.0.44,2352,2950
